alpine_url;arch;bdate;branch;description;license;maintainer;name;pkg_url;repo;version
http://search.cpan.org/dist/Sub-Info/;armv7;2018-09-27 15:28:15;edge;Tool for inspecting subroutines. (documentation);GPL PerlArtistic;William Pitcock;perl-sub-info-doc;/package/edge/main/armv7/perl-sub-info-doc;main;0.002-r0
http://search.cpan.org/dist/Term-Table/;armv7;2018-09-27 15:28:07;edge;Format a header and rows into a table;GPL PerlArtistic;William Pitcock;perl-term-table;/package/edge/main/armv7/perl-term-table;main;0.012-r0
http://search.cpan.org/dist/Term-Table/;armv7;2018-09-27 15:28:03;edge;Format a header and rows into a table (documentation);GPL PerlArtistic;William Pitcock;perl-term-table-doc;/package/edge/main/armv7/perl-term-table-doc;main;0.012-r0
https://metacpan.org/release/Importer;armv7;2018-09-27 15:26:51;edge;Alternative but compatible interface to modules that export symbols.;PerlArtistic;Francesco Colista;perl-importer;/package/edge/main/armv7/perl-importer;main;0.025-r0
https://metacpan.org/release/Importer;armv7;2018-09-27 15:26:49;edge;Alternative but compatible interface to modules that export symbols. (documentation);PerlArtistic;Francesco Colista;perl-importer-doc;/package/edge/main/armv7/perl-importer-doc;main;0.025-r0
http://search.cpan.org/dist/Specio/;armv7;2018-09-27 15:26:44;edge;Specio perl module;GPL or Artistic-2.0;Leonardo Arena;perl-specio;/package/edge/main/armv7/perl-specio;main;0.42-r0
http://search.cpan.org/dist/Specio/;armv7;2018-09-27 15:26:42;edge;Specio perl module (documentation);GPL or Artistic-2.0;Leonardo Arena;perl-specio-doc;/package/edge/main/armv7/perl-specio-doc;main;0.42-r0
http://search.cpan.org/dist/Sub-Quote/;armv7;2018-09-27 15:25:36;edge;Efficient generation of subroutines via string eval;GPL PerlArtistic;Timo Teräs;perl-sub-quote;/package/edge/main/armv7/perl-sub-quote;main;2.004000-r0
http://search.cpan.org/dist/Sub-Quote/;armv7;2018-09-27 15:25:34;edge;Efficient generation of subroutines via string eval (documentation);GPL PerlArtistic;Timo Teräs;perl-sub-quote-doc;/package/edge/main/armv7/perl-sub-quote-doc;main;2.004000-r0
http://search.cpan.org/dist/Role-Tiny/;armv7;2018-09-27 15:23:50;edge;Roles. Like a nouvelle cuisine portion size slice of Moose.;GPL PerlArtistic;Kiyoshi Aman;perl-role-tiny;/package/edge/main/armv7/perl-role-tiny;main;2.000006-r0
http://search.cpan.org/dist/Role-Tiny/;armv7;2018-09-27 15:23:49;edge;Roles. Like a nouvelle cuisine portion size slice of Moose. (documentation);GPL PerlArtistic;Kiyoshi Aman;perl-role-tiny-doc;/package/edge/main/armv7/perl-role-tiny-doc;main;2.000006-r0
http://search.cpan.org/dist/MRO-Compat/;armv7;2018-09-27 15:23:39;edge;mro::* interface compatibility for Perls < 5.9.5;GPL PerlArtistic;Francesco Colista;perl-mro-compat;/package/edge/main/armv7/perl-mro-compat;main;0.13-r0
http://search.cpan.org/dist/MRO-Compat/;armv7;2018-09-27 15:23:34;edge;mro::* interface compatibility for Perls < 5.9.5 (documentation);GPL PerlArtistic;Francesco Colista;perl-mro-compat-doc;/package/edge/main/armv7/perl-mro-compat-doc;main;0.13-r0
http://search.cpan.org/dist/Eval-Closure/;armv7;2018-09-27 15:22:51;edge;safely and cleanly create closures via string eval;GPL PerlArtistic;Francesco Colista;perl-eval-closure;/package/edge/main/armv7/perl-eval-closure;main;0.14-r0
http://search.cpan.org/dist/Eval-Closure/;armv7;2018-09-27 15:22:45;edge;safely and cleanly create closures via string eval (documentation);GPL PerlArtistic;Francesco Colista;perl-eval-closure-doc;/package/edge/main/armv7/perl-eval-closure-doc;main;0.14-r0
http://search.cpan.org/dist/Class-Singleton/;armv7;2018-09-27 15:22:29;edge;Base class for creating singleton objects;GPL PerlArtistic;Natanael Copa;perl-class-singleton;/package/edge/main/armv7/perl-class-singleton;main;1.5-r0
